country,year,month,eom,name,value
Australia,2011,January,2011-01-31,births,24550
Australia,2011,January,2011-01-31,deaths,11483
Australia,2011,February,2011-02-28,births,23209
Australia,2011,February,2011-02-28,deaths,10522
Australia,2011,March,2011-03-31,births,26116
Australia,2011,March,2011-03-31,deaths,11700
Australia,2011,April,2011-04-30,births,24353
Australia,2011,April,2011-04-30,deaths,11716
Australia,2011,May,2011-05-31,births,25125
Australia,2011,May,2011-05-31,deaths,12658
Australia,2011,June,2011-06-30,births,24625
Australia,2011,June,2011-06-30,deaths,12988
Australia,2011,July,2011-07-31,births,24440
Australia,2011,July,2011-07-31,deaths,13490
Australia,2011,August,2011-08-31,births,24726
Australia,2011,August,2011-08-31,deaths,13307
Australia,2011,September,2011-09-30,births,24897
Australia,2011,September,2011-09-30,deaths,12728
Australia,2011,October,2011-10-31,births,24624
Australia,2011,October,2011-10-31,deaths,12735
Australia,2011,November,2011-11-30,births,23653
Australia,2011,November,2011-11-30,deaths,11411
Australia,2011,December,2011-12-31,births,23754
Australia,2011,December,2011-12-31,deaths,11885
Australia,2010,January,2010-01-31,births,24343
Australia,2010,January,2010-01-31,deaths,11385
Australia,2010,February,2010-02-28,births,22922
Australia,2010,February,2010-02-28,deaths,10148
Australia,2010,March,2010-03-31,births,26155
Australia,2010,March,2010-03-31,deaths,11156
Australia,2010,April,2010-04-30,births,24129
Australia,2010,April,2010-04-30,deaths,11044
Australia,2010,May,2010-05-31,births,24865
Australia,2010,May,2010-05-31,deaths,12301
Australia,2010,June,2010-06-30,births,24485
Australia,2010,June,2010-06-30,deaths,12349
Australia,2010,July,2010-07-31,births,24799
Australia,2010,July,2010-07-31,deaths,13365
Australia,2010,August,2010-08-31,births,24424
Australia,2010,August,2010-08-31,deaths,12807
Australia,2010,September,2010-09-30,births,24551
Australia,2010,September,2010-09-30,deaths,12267
Australia,2010,October,2010-10-31,births,24308
Australia,2010,October,2010-10-31,deaths,12412
Australia,2010,November,2010-11-30,births,22725
Australia,2010,November,2010-11-30,deaths,11694
Australia,2010,December,2010-12-31,births,22964
Australia,2010,December,2010-12-31,deaths,11702
France,2011,January,2011-01-31,births,66293
France,2011,January,2011-01-31,deaths,52088
France,2011,February,2011-02-28,births,60316
France,2011,February,2011-02-28,deaths,45390
France,2011,March,2011-03-31,births,64702
France,2011,March,2011-03-31,deaths,46906
France,2011,April,2011-04-30,births,62244
France,2011,April,2011-04-30,deaths,43075
France,2011,May,2011-05-31,births,67624
France,2011,May,2011-05-31,deaths,43325
France,2011,June,2011-06-30,births,66950
France,2011,June,2011-06-30,deaths,41391
France,2011,July,2011-07-31,births,70231
France,2011,July,2011-07-31,deaths,41824
France,2011,August,2011-08-31,births,69486
France,2011,August,2011-08-31,deaths,41861
France,2011,September,2011-09-30,births,67003
France,2011,September,2011-09-30,deaths,41188
France,2011,October,2011-10-31,births,67464
France,2011,October,2011-10-31,deaths,44935
France,2011,November,2011-11-30,births,64559
France,2011,November,2011-11-30,deaths,44274
France,2011,December,2011-12-31,births,66124
France,2011,December,2011-12-31,deaths,48538
France,2010,January,2010-01-31,births,66700
France,2010,January,2010-01-31,deaths,50900
France,2010,February,2010-02-28,births,61000
France,2010,February,2010-02-28,deaths,45600
France,2010,March,2010-03-31,births,66000
France,2010,March,2010-03-31,deaths,47300
France,2010,April,2010-04-30,births,63800
France,2010,April,2010-04-30,deaths,43500
France,2010,May,2010-05-31,births,66600
France,2010,May,2010-05-31,deaths,43500
France,2010,June,2010-06-30,births,65100
France,2010,June,2010-06-30,deaths,41100
France,2010,July,2010-07-31,births,69600
France,2010,July,2010-07-31,deaths,42300
France,2010,August,2010-08-31,births,68600
France,2010,August,2010-08-31,deaths,40900
France,2010,September,2010-09-30,births,67700
France,2010,September,2010-09-30,deaths,41000
France,2010,October,2010-10-31,births,69800
France,2010,October,2010-10-31,deaths,44600
France,2010,November,2010-11-30,births,65800
France,2010,November,2010-11-30,deaths,43000
France,2010,December,2010-12-31,births,67000
France,2010,December,2010-12-31,deaths,48000
